symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SBUX,2018-10-03 00:00:00+00:00,55.47,56.11,55.46,55.8,7383546,50.7404719103,51.3259037117,50.7313245384,51.0423351829,7383546,0.0,1.0
SBUX,2018-10-04 00:00:00+00:00,55.89,56.08,55.5,55.78,9722043,51.1246615299,51.298461596,50.767914026,51.0240404391,9722043,0.0,1.0
SBUX,2018-10-05 00:00:00+00:00,55.76,55.95,55.31,55.95,9734042,51.0057456953,51.1795457613,50.5941139599,51.1795457613,9734042,0.0,1.0
SBUX,2018-10-08 00:00:00+00:00,56.54,56.75,55.45,55.82,9624260,51.7192407032,51.911335513,50.7221771665,51.0606299267,9624260,0.0,1.0
SBUX,2018-10-09 00:00:00+00:00,57.71,59.7,56.81,56.83,24855700,52.7894832151,54.6098102225,51.9662197444,51.9845144882,24855700,0.0,1.0
SBUX,2018-10-10 00:00:00+00:00,56.01,57.87,55.94,57.67,14190452,51.2344299927,52.9358411655,51.1703983894,52.7528937275,14190452,0.0,1.0
SBUX,2018-10-11 00:00:00+00:00,54.86,56.27,54.71,55.7,15316853,50.1824822246,51.472261662,50.0452716461,50.9508614639,15316853,0.0,1.0
SBUX,2018-10-12 00:00:00+00:00,56.45,56.78,55.28,55.71,13980461,51.6369143561,51.9387776287,50.5666718442,50.9600088358,13980461,0.0,1.0
SBUX,2018-10-15 00:00:00+00:00,56.75,57.19,56.31,56.37,10175142,51.911335513,52.3138198765,51.5088511496,51.563735381,10175142,0.0,1.0
SBUX,2018-10-16 00:00:00+00:00,57.81,58.01,56.77,56.94,11731398,52.8809569341,53.063904372,51.9296302568,52.0851355791,11731398,0.0,1.0
SBUX,2018-10-17 00:00:00+00:00,59.1,59.4,57.78,57.9,14631015,54.0609679087,54.3353890656,52.8535148184,52.9632832811,14631015,0.0,1.0
SBUX,2018-10-18 00:00:00+00:00,58.64,59.53,58.15,59.0,12184673,53.6401888015,54.4543049003,53.1919675786,53.9694941898,12184673,0.0,1.0
SBUX,2018-10-19 00:00:00+00:00,58.66,59.07,58.39,58.39,10180500,53.6584835453,54.033525793,53.4115045041,53.4115045041,10180500,0.0,1.0
SBUX,2018-10-22 00:00:00+00:00,58.9,59.36,58.58,58.93,8680150,53.8780204708,54.298799578,53.5853045701,53.9054625865,8680150,0.0,1.0
SBUX,2018-10-23 00:00:00+00:00,58.81,59.3,58.21,58.36,12834169,53.7956941237,54.2439153467,53.2468518099,53.3840623884,12834169,0.0,1.0
SBUX,2018-10-24 00:00:00+00:00,58.06,59.28,57.95,58.57,12189685,53.1096412315,54.2256206029,53.0090201406,53.5761571982,12189685,0.0,1.0
SBUX,2018-10-25 00:00:00+00:00,58.96,59.47,57.7,58.29,9569597,53.9329047022,54.3994206689,52.7803358432,53.3200307851,9569597,0.0,1.0
SBUX,2018-10-26 00:00:00+00:00,58.07,58.36,57.39,58.04,13367726,53.1187886034,53.3840623884,52.4967673144,53.0913464877,13367726,0.0,1.0
SBUX,2018-10-29 00:00:00+00:00,58.37,59.68,57.7,58.68,14412820,53.3932097603,54.5915154787,52.7803358432,53.6767782891,14412820,0.0,1.0
SBUX,2018-10-30 00:00:00+00:00,58.59,58.87,57.69,58.43,14230072,53.594451942,53.8505783551,52.7711884713,53.4480939917,14230072,0.0,1.0
SBUX,2018-10-31 00:00:00+00:00,58.27,59.12,58.21,58.98,11560416,53.3017360413,54.0792626525,53.2468518099,53.951199446,11560416,0.0,1.0
SBUX,2018-11-01 00:00:00+00:00,58.63,59.07,58.07,58.3,18772357,53.6310414296,54.033525793,53.1187886034,53.329178157,18772357,0.0,1.0
SBUX,2018-11-02 00:00:00+00:00,64.32,65.68,61.9,61.99,45572997,58.8358960387,60.0799386167,56.6222320398,56.7045583868,45572997,0.0,1.0
SBUX,2018-11-05 00:00:00+00:00,64.48,65.13,63.82,63.93,23242808,58.9822539891,59.5768331624,58.3785274439,58.4791485348,23242808,0.0,1.0
SBUX,2018-11-06 00:00:00+00:00,66.01,66.08,64.25,64.3,16065429,60.3818018893,60.4458334925,58.7718644355,58.817601295,16065429,0.0,1.0
SBUX,2018-11-07 00:00:00+00:00,68.16,68.21,66.04,66.29,16465020,62.348486847,62.3942237065,60.409244005,60.6379283024,16465020,0.0,1.0
